'id','Sepal.Length','Sepal.Width','Petal.Length','Petal.Width','Species'
2,5.1,3.5,1.4,0.2,'Setosa'
3,4.9,3.0,1.4,0.2,'Setosa'
4,4.7,3.2,1.3,0.2,'Setosa'
5,4.6,3.1,1.5,0.2,'Setosa'
6,5.0,3.6,1.4,0.2,'Setosa'
7,5.4,3.9,1.7,0.4,'Setosa'
8,4.6,3.4,1.4,0.3,'Setosa'
9,5.0,3.4,1.5,0.2,'Setosa'
10,4.4,2.9,1.4,0.2,'Setosa'
11,4.9,3.1,1.5,0.1,'Setosa'
12,5.4,3.7,1.5,0.2,'Setosa'
13,4.8,3.4,1.6,0.2,'Setosa'
14,4.8,3.0,1.4,0.1,'Setosa'
15,4.3,3.0,1.1,0.1,'Setosa'
16,5.8,4.0,1.2,0.2,'Setosa'
17,5.7,4.4,1.5,0.4,'Setosa'
18,5.4,3.9,1.3,0.4,'Setosa'
19,5.1,3.5,1.4,0.3,'Setosa'
20,5.7,3.8,1.7,0.3,'Setosa'
21,5.1,3.8,1.5,0.3,'Setosa'
22,5.4,3.4,1.7,0.2,'Setosa'
23,5.1,3.7,1.5,0.4,'Setosa'
24,4.6,3.6,1.0,0.2,'Setosa'
25,5.1,3.3,1.7,0.5,'Setosa'
26,4.8,3.4,1.9,0.2,'Setosa'
27,5.0,3.0,1.6,0.2,'Setosa'
28,5.0,3.4,1.6,0.4,'Setosa'
29,5.2,3.5,1.5,0.2,'Setosa'
30,5.2,3.4,1.4,0.2,'Setosa'
31,4.7,3.2,1.6,0.2,'Setosa'
32,4.8,3.1,1.6,0.2,'Setosa'
33,5.4,3.4,1.5,0.4,'Setosa'
34,5.2,4.1,1.5,0.1,'Setosa'
35,5.5,4.2,1.4,0.2,'Setosa'
36,4.9,3.1,1.5,0.2,'Setosa'
37,5.0,3.2,1.2,0.2,'Setosa'
38,5.5,3.5,1.3,0.2,'Setosa'
39,4.9,3.6,1.4,0.1,'Setosa'
40,4.4,3.0,1.3,0.2,'Setosa'
41,5.1,3.4,1.5,0.2,'Setosa'
42,5.0,3.5,1.3,0.3,'Setosa'
43,4.5,2.3,1.3,0.3,'Setosa'
44,4.4,3.2,1.3,0.2,'Setosa'
45,5.0,3.5,1.6,0.6,'Setosa'
46,5.1,3.8,1.9,0.4,'Setosa'
47,4.8,3.0,1.4,0.3,'Setosa'
48,5.1,3.8,1.6,0.2,'Setosa'
49,4.6,3.2,1.4,0.2,'Setosa'
50,5.3,3.7,1.5,0.2,'Setosa'
51,5.0,3.3,1.4,0.2,'Setosa'
52,7.0,3.2,4.7,1.4,'Versicolor'
53,6.4,3.2,4.5,1.5,'Versicolor'
54,6.9,3.1,4.9,1.5,'Versicolor'
55,5.5,2.3,4.0,1.3,'Versicolor'
56,6.5,2.8,4.6,1.5,'Versicolor'
57,5.7,2.8,4.5,1.3,'Versicolor'
58,6.3,3.3,4.7,1.6,'Versicolor'
59,4.9,2.4,3.3,1.0,'Versicolor'
60,6.6,2.9,4.6,1.3,'Versicolor'
61,5.2,2.7,3.9,1.4,'Versicolor'
62,5.0,2.0,3.5,1.0,'Versicolor'
63,5.9,3.0,4.2,1.5,'Versicolor'
64,6.0,2.2,4.0,1.0,'Versicolor'
65,6.1,2.9,4.7,1.4,'Versicolor'
66,5.6,2.9,3.6,1.3,'Versicolor'
67,6.7,3.1,4.4,1.4,'Versicolor'
68,5.6,3.0,4.5,1.5,'Versicolor'
69,5.8,2.7,4.1,1.0,'Versicolor'
70,6.2,2.2,4.5,1.5,'Versicolor'
71,5.6,2.5,3.9,1.1,'Versicolor'
72,5.9,3.2,4.8,1.8,'Versicolor'
73,6.1,2.8,4.0,1.3,'Versicolor'
74,6.3,2.5,4.9,1.5,'Versicolor'
75,6.1,2.8,4.7,1.2,'Versicolor'
76,6.4,2.9,4.3,1.3,'Versicolor'
77,6.6,3.0,4.4,1.4,'Versicolor'
78,6.8,2.8,4.8,1.4,'Versicolor'
79,6.7,3.0,5.0,1.7,'Versicolor'
80,6.0,2.9,4.5,1.5,'Versicolor'
81,5.7,2.6,3.5,1.0,'Versicolor'
82,5.5,2.4,3.8,1.1,'Versicolor'
83,5.5,2.4,3.7,1.0,'Versicolor'
84,5.8,2.7,3.9,1.2,'Versicolor'
85,6.0,2.7,5.1,1.6,'Versicolor'
86,5.4,3.0,4.5,1.5,'Versicolor'
87,6.0,3.4,4.5,1.6,'Versicolor'
88,6.7,3.1,4.7,1.5,'Versicolor'
89,6.3,2.3,4.4,1.3,'Versicolor'
90,5.6,3.0,4.1,1.3,'Versicolor'
91,5.5,2.5,4.0,1.3,'Versicolor'
92,5.5,2.6,4.4,1.2,'Versicolor'
93,6.1,3.0,4.6,1.4,'Versicolor'
94,5.8,2.6,4.0,1.2,'Versicolor'
